,subset,element_number,FXY,ElementName,Value,Units
53,2,53,004023,Time period or displacement,0.0,d
54,2,54,004004,Hour,6.0,h
55,2,55,004005,Minute,0.0,min
56,2,56,004006,Second,1.0,s
57,2,57,008023,First-order statistics,3.0,Code table
58,2,58,204008,Operator,,
59,2,59,031021,Associated field significance,5.0,Code table
60,2,60,,Associated field,0.0,
61,2,61,012101,Temperature/air temperature,297.95,K
62,2,62,204000,Operator,,
63,2,63,004023,Time period or displacement,0.0,d
64,2,64,004004,Hour,10.0,h
65,2,65,004005,Minute,0.0,min
66,2,66,004006,Second,1.0,s
67,2,67,008023,First-order statistics,4.0,Code table
68,2,68,204008,Operator,,
69,2,69,031021,Associated field significance,5.0,Code table
70,2,70,,Associated field,0.0,
71,2,71,012101,Temperature/air temperature,299.95,K
72,2,72,204000,Operator,,
73,2,73,008023,First-order statistics,,Code table
0,3,0,001125,WIGOS identifier series,0.0,Numeric
1,3,1,001126,WIGOS issuer of identifier,20000.0,Numeric
2,3,2,001127,WIGOS issue number,0.0,Numeric
3,3,3,001128,WIGOS local identifier (character),91929,CCITT IA5
4,3,4,001001,WMO block number,91.0,Numeric
5,3,5,001002,WMO station number,592.0,Numeric
6,3,6,005001,Latitude (high accuracy),-16.44517,deg
7,3,7,006001,Longitude (high accuracy),-151.752,deg
8,3,8,007030,Height of station ground above mean sea level,3.0,m
9,3,9,008095,Siting and measurement quality classification for temperature,17,Code table
10,3,10,008096,Siting and measurement quality classification for precipitation,7,Code table
11,3,11,008094,Method used to calculate the average daily temperature,2,Code table
12,3,12,004001,Year,2021.0,a
13,3,13,004002,Month,10.0,mon
14,3,14,004003,Day,4.0,d
15,3,15,004023,Time period or displacement,0.0,d
16,3,16,004004,Hour,18.0,h
17,3,17,004005,Minute,0.0,min
18,3,18,004006,Second,1.0,s
19,3,19,204008,Operator,,
20,3,20,031021,Associated field significance,5,Code table
21,3,21,,Associated field,0,
22,3,22,013060,Total accumulated precipitation,0.2,kg m-2
23,3,23,204000,Operator,,
24,3,24,004023,Time period or displacement,0.0,d
25,3,25,004004,Hour,18.0,h
26,3,26,004005,Minute,0.0,min
27,3,27,004006,Second,1.0,s
28,3,28,204008,Operator,,
29,3,29,031021,Associated field significance,5,Code table
30,3,30,,Associated field,6,
